Area;Player Direction;Pass Direction;Offensive Action;Footwork;Make/Miss;Off Dribble Hand;Defender Distance;PTS;Year
Right Wing;Left;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Left Wing;To Hoop;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Wing;Stationary;Off the Dribble;Spot Up;1-2 Left/Right;Miss;Left;Wide Open;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;Hop  ;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Right;From Hoop;DHO;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Top;Away From Hoop;Left;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Left Wing;Right;Right;Lift;Hop  ;Make ;Catch & Shoot;Close;3;2024-2025
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Wing;Left;From Hoop;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Left;Left;Lift;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Top;Right;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Right;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Right Corner;Stationary;From Hoop;Spot Up;Hop  ;Miss;Catch & Shoot;Tight;0;2024-2025
Left Wing;Left;Left;Post Kick Out;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
